horizon_bars,horizon_minutes,forecast_base_time,forecast_target_time,latest_close,pred_return_pct,pred_price,ic,hit_ratio,r2,n_test
6,30,2025-11-03 15:30:00-05:00,2025-11-03 16:00:00-05:00,206.67,0.09539285810566651,206.86724248251048,0.16023745865575606,0.5362976406533575,0.028327870033200586,1574
12,60,2025-11-03 15:00:00-05:00,2025-11-03 16:00:00-05:00,208.1341,0.08498678367589448,208.31106166368465,0.10208654103212751,0.5533272561531449,-0.007809827630708366,1568
24,120,2025-11-03 14:00:00-05:00,2025-11-03 16:00:00-05:00,208.66,0.3363957189359378,209.3631052520752,0.09923525169856612,0.5418583256669733,-0.029204266473139562,1556
48,240,2025-11-03 12:00:00-05:00,2025-11-03 16:00:00-05:00,208.91,0.25765876379547364,209.44896897566935,-0.08576500004189169,0.4869402985074627,-0.12563017338370663,1532
