timeframe,bars,start,end,last_close,mean_return_pct,return_std_pct,annualized_vol_pct,mean_yz_vol
5min,17257,2024-03-07 15:50:00-05:00,2025-03-07 15:50:00-05:00,112.68,0.001141115898987664,0.39028990235907796,54.718588634551445,0.0029836897160929157
15min,5974,2024-03-07 15:45:00-05:00,2025-03-07 15:45:00-05:00,112.68,0.0032966844053125346,0.6493069767409381,52.55778012712563,0.005615338191098309
30min,3070,2024-03-07 15:30:00-05:00,2025-03-07 15:30:00-05:00,112.68,0.0064161277135653585,0.9010863993878481,51.574898414382886,0.008303610657242944
60min,1743,2024-03-07 15:00:00-05:00,2025-03-07 15:00:00-05:00,112.68,0.01130372902005285,1.2011964218523774,48.61507706731136,0.011254180169693064
1D,251,2024-03-07 00:00:00-05:00,2025-03-07 00:00:00-05:00,112.68,0.07876438381172739,3.4758597498606854,55.17756294162329,0.030609330618814365
